Number of Qubits,Depth,Seed,Lower Bound,Lower Bound (normalized),Generic Upper Bound,Generic Upper Bound (normalized),Main Thm Upper Bound,Main Thm Upper Bound (normalized),Greedy Upper Bound,Cotengra Upper Bound,HyperOpt Upper Bound,Largest HSC Rank
5,10,0,1.372537926312834,1.6392438215820027,17.190031339987314,16.14271442357229,17.667532210542518,14.986023712034758,4.0,4.0,4.0,8
5,10,1,2.2425684898589755,2.545260354317107,18.716885313367307,17.002226278673866,19.23679879429418,15.747721735542548,6.0,6.0,6.0,10
5,10,2,1.9064369119537594,2.1324904338828627,18.675593098710415,17.02538391670759,19.1943595736746,15.769170693686632,6.0,6.0,6.0,9
5,10,3,1.5169177364847637,1.7106041218410755,18.83557952650963,17.69394131240767,19.358790068912676,16.40642927850361,4.0,4.0,4.0,8
5,10,5,2.242059225428615,2.3727008406992436,21.406278403936007,18.68055488435261,22.00089724848979,19.118380389454625,6.0,6.0,6.0,7
5,10,7,2.398631947581267,2.653748900770034,21.58189757302633,19.301779654313954,22.18139472783262,17.87760320412586,5.0,5.0,5.0,6
5,10,9,1.8988271940357335,2.1896450601893718,19.591881229586903,19.130167057982394,22.040866383285266,17.738147051649744,5.0,4.0,4.0,7
5,10,11,2.061111598324867,2.2404005783973266,21.691634088757702,19.559159322479438,22.29417948011209,18.115992184970107,5.0,5.0,5.0,9
5,10,13,2.8225017186660333,3.3281604042176083,20.223873770134496,18.802300939625976,20.785648041527125,17.414978387657047,6.0,6.0,6.0,8
5,10,15,2.5278612784448686,2.8050513116903937,20.282725418088166,19.28077398770692,20.846134457479508,17.858147434794517,5.0,5.0,5.0,9
5,10,17,1.3932830730892343,1.5489399273843794,18.0,19.225440215758596,18.500000000000004,17.80689644983891,5.0,5.0,5.0,8
5,10,19,2.428545083398351,2.7148535797431412,21.89385653790543,20.046195091795294,22.50201921951392,18.567092155334706,5.0,5.0,5.0,10
5,10,20,2.210828229725247,2.545714943237368,22.211633843033955,19.83911167648535,22.828623672007122,18.375288332300233,5.0,5.0,5.0,10
5,10,21,1.7796268648729905,2.0411226665238726,22.23897343874049,20.024108875833882,22.856722700927733,18.546635564682944,4.0,4.0,4.0,8
5,10,22,1.7829712416714258,2.092516323734007,20.769086457808623,18.961742279862243,21.34600552608109,17.60305683240999,4.0,3.0,3.0,5
5,10,23,2.0312819378044544,2.351822664789021,18.962795572792373,17.67690140233816,19.48953989425883,16.390629289426474,5.0,5.0,5.0,10
5,10,24,2.119288982161979,2.417077190291509,20.317720418698574,19.187354805607477,20.882101541440203,17.771621161096512,5.0,5.0,5.0,9
5,10,25,2.6030147230253458,2.9731326377539493,20.24505852615057,18.24586039498347,20.80742126298809,16.918187582425798,5.0,5.0,5.0,8
5,10,26,2.186586678522809,2.4772909176346745,22.300865556721313,20.576423773896728,22.92033404440802,19.05819806141303,5.0,4.0,4.0,7
5,10,27,1.916998253822872,2.2093837152745537,20.497647185045167,20.456155925379832,23.059853083175813,18.946804142691217,4.0,3.0,3.0,8
5,10,28,1.9328162678081375,2.2136396109630323,19.05080681135351,17.68613015280008,19.579995889446664,16.39918650339645,5.0,5.0,5.0,7
5,10,29,2.594332568905508,3.0005617740407073,19.360154170501946,18.078432884075344,19.89793623079367,16.74452073551076,6.0,6.0,6.0,9
5,10,30,2.1174490571543436,2.4039835376884326,18.368038278321247,17.461466092927335,18.878261563830172,16.19087028121372,5.0,5.0,5.0,9
5,10,31,1.4109960981634353,1.6009183737564276,21.400271908552106,20.60964650327215,24.075305897121122,21.09268509319259,3.0,3.0,3.0,8
5,10,32,1.8776719263533277,2.0740284787093333,18.048294706691486,17.17283256604117,18.54963622632181,15.923239375094331,5.0,5.0,5.0,8
5,10,33,2.45099486427081,2.7212670019075555,20.56535001724402,19.04333375014824,21.136609739945243,17.638226659208488,6.0,6.0,6.0,8
5,10,34,1.6051055205049525,1.6551463313118395,20.87539651648193,19.91535860593216,21.455268641939767,18.445909403237515,4.0,4.0,4.0,8
5,10,35,1.9031983626286844,2.1607851189644185,18.494739128825376,17.611901261252804,19.00848188240386,16.330358929138697,5.0,5.0,5.0,9
5,10,36,2.2503700285620787,2.4506293221828606,19.429558031553025,18.17344919984385,19.969267976873944,16.83252629881371,6.0,6.0,6.0,10
5,10,37,2.403812035662412,2.616880870223183,19.742735454817986,18.454659675718993,20.291144773007375,17.09298773784042,6.0,6.0,6.0,10
5,10,38,2.116738057397776,2.3619018735412345,19.56559084456884,18.52423415232007,20.109079479140195,17.15742868101173,5.0,5.0,5.0,9
5,10,39,2.1540795318929544,2.4915381663163885,18.94560041379478,16.95030039392961,19.471867091955744,15.716899912366495,5.0,5.0,5.0,7
5,10,40,2.278338730842238,2.538936562386254,19.072627810548884,17.7714347788135,19.60242302750858,16.460174400168405,6.0,5.0,5.0,8
5,10,41,2.0765827494286553,2.450859169856394,20.08126979838986,18.954417412773143,20.63908284834514,17.555870989087627,6.0,6.0,6.0,8
5,10,42,2.1505005557392582,2.4041381980276193,19.603690202571133,18.324944857174494,20.148237152642555,16.972843891150333,6.0,5.0,5.0,10
5,10,43,2.5791889119440525,2.8959122033860236,20.328748131945865,18.321769328991365,20.893435580055474,16.96990266843211,6.0,6.0,6.0,8
5,10,44,1.9916908026349553,2.2134528512502967,20.063416126181124,19.01108880693334,20.620733240797268,17.627733612950568,4.0,4.0,4.0,7
5,10,45,1.7679654907399638,1.994966179231734,17.926078091910846,16.778352822242887,18.424024705575036,15.557464226179926,5.0,5.0,5.0,9
5,10,46,2.4624075029107453,2.7799453913090755,20.238708849790775,18.594745379905202,20.800895206729408,17.22273725725595,6.0,6.0,6.0,8
5,10,47,2.5168092741610266,2.6016771122037663,18.093960780475918,18.084605084668784,18.596570802155806,16.75023752199791,6.0,6.0,6.0,8
5,10,48,2.23069043698867,2.502677954886595,18.80499552885965,17.662106925570065,19.327356515772422,16.35891327220769,6.0,6.0,6.0,10
5,10,49,2.0943190391678828,2.3987408489934103,18.483577733195645,17.13635593019693,18.997010448006638,15.88941698720857,5.0,5.0,5.0,9
5,10,50,2.187594991295889,2.4596226223512216,19.22896470510332,18.109004720963025,19.763102613578415,16.772836837905857,6.0,6.0,6.0,10
5,10,51,2.4981738609181656,2.921882443839744,20.855334260361904,18.673785080052703,21.43464910092752,17.31497402803196,5.0,5.0,5.0,8
5,10,52,2.3144440038959946,2.576000594556635,19.974684720151696,18.986659968058845,20.529537073489248,17.60508235564877,5.0,5.0,5.0,10
5,10,53,2.920818902445026,3.012970723456782,21.473401253820004,17.864482193340272,22.06988462198167,16.58441986446141,4.0,4.0,4.0,8
5,10,54,2.192013302973114,2.5126051813151657,18.76918857815626,17.08864020866108,19.29055492754949,15.845173333574328,5.0,5.0,5.0,8
5,10,55,1.880287800237053,1.9932240432791706,21.037836913387572,18.451794076657162,21.622221272092787,17.09033357620937,5.0,5.0,5.0,9
5,10,56,2.299981764306395,2.575049130753095,20.908160867852335,19.08672177338804,21.488943114181573,17.678413309205762,6.0,5.0,5.0,8
5,10,57,2.0890368339433847,2.412963239879951,19.198915984918916,17.79318131257607,19.73221920672222,16.498448010543814,5.0,5.0,5.0,6
5,11,0,1.9198508391143072,2.142644857022849,20.776751935231832,20.58423758987879,19.867769038065436,17.8132825297028,5.0,5.0,5.0,9
5,11,1,2.237090444091131,2.5111890491207527,19.424258392141194,19.68119384431989,18.57444708748502,17.03180236527683,6.0,6.0,6.0,8
5,11,2,2.2353185340651747,2.327674446236962,23.759283127066826,21.273017689027824,22.719814490257654,20.546189584652705,5.0,5.0,5.0,7
5,11,3,1.84629434159963,2.0868953607195815,22.59965320761394,20.724837709066435,23.899133267051745,17.91834926929702,5.0,5.0,5.0,8
5,11,5,1.6022479700167802,1.7496638784173315,21.951402790179205,22.357271921882276,23.213608450614508,19.329724682460718,5.0,5.0,5.0,9
5,11,7,2.384742478202363,2.5922354000939984,23.887145704604535,21.834002309177947,22.842083080028086,18.877314496476767,6.0,6.0,6.0,8
5,11,9,1.5103748896024074,1.5857617101729578,23.08472791684338,22.278546104416602,22.074771070481486,19.261659652776853,5.0,5.0,5.0,8
5,11,11,1.7226770760398615,1.8454603050891307,24.132970828025833,21.877597150788173,23.077153354299703,18.93253599587438,4.0,4.0,4.0,9
5,11,13,1.9316688698800524,2.2337703713749644,20.92233235592379,19.200454221153024,20.006980315352124,16.632393469073804,5.0,5.0,5.0,10
5,11,15,2.3139936058957096,2.7069517368108573,23.160745267854644,21.936067625256786,24.492488120756285,18.965558467669926,5.0,5.0,5.0,9
5,11,17,1.4487311444925364,1.5735145118300378,22.21194968249628,21.52882571735718,21.240176883887067,18.630714563097563,4.0,4.0,4.0,8
5,11,19,1.9664839446155402,2.1738574831717106,20.83382447320783,20.96326011314797,19.922344652504986,18.141282790224206,6.0,5.0,5.0,9
5,11,20,2.435730272188911,2.876277283065982,23.23328738762018,20.88456235435538,24.56920141240834,20.171006473914904,6.0,6.0,6.0,9
5,11,21,2.086973574353093,2.2504731129039888,22.070780577140933,20.810370434234745,21.10518392689102,17.99229943793212,6.0,5.0,5.0,10
5,11,22,1.5679503370608812,1.7699884701659458,20.530473313534216,20.819508699132893,21.710975529062434,20.12485778388298,5.0,5.0,5.0,9
5,11,23,1.4110449735865318,1.5600626382744964,22.489947320081296,21.657051746047852,23.78311929098597,18.724325988770538,4.0,4.0,4.0,9
5,11,24,2.0070592775203613,2.280401348670211,20.170957737305375,21.026002895140785,19.28847833629827,18.178731669757138,6.0,6.0,6.0,8
5,11,25,2.5262190119547228,2.725261879180121,23.826058104970524,21.874693654483462,22.783668062878064,18.912495555438827,5.0,5.0,5.0,8
5,11,26,1.886729795855993,2.044649227153759,23.667387573291332,20.87917263830679,22.631939366959838,20.165800906497978,6.0,6.0,6.0,8
5,11,27,2.0298171595445234,2.301729585967478,22.633288323737403,20.620257867889624,21.643081959573895,19.915732390736725,6.0,5.0,5.0,8
5,11,28,1.9807965943214845,2.22752936096881,23.74633966866379,21.932702680643388,22.707437308159754,18.962649192639596,5.0,5.0,5.0,9
5,11,29,2.063027024894602,2.3373737111561845,22.05386189932184,20.36450718403197,21.08900544122651,17.623131216950746,5.0,5.0,5.0,10
5,11,30,2.1073262024476884,2.283709949308863,24.440001430843097,22.231374956815554,23.37075136824371,19.22087626474678,6.0,6.0,6.0,7
5,11,31,1.5669012602410481,1.7532425306892665,22.353549395209125,21.719495558642244,23.63887848543365,18.77831386840944,5.0,5.0,5.0,8
5,11,32,2.2324567825135144,2.5828928420798034,23.239739654642445,20.27386719882434,22.22300104475184,17.544692768213373,5.0,5.0,5.0,8
5,11,33,1.3764763271456693,1.5282375267706338,21.315573967963072,21.650468451126873,20.383017606864687,18.718634181703443,5.0,5.0,5.0,8
5,11,34,1.7215866533893838,1.9267372507525906,22.421585677886295,22.10335316492322,23.710826854364754,19.127901777337403,4.0,4.0,4.0,8
5,11,35,2.1308892272863553,2.428132585436619,23.318379529735054,21.222270655277978,22.298200425309144,18.348421504042417,6.0,6.0,6.0,10
5,11,36,1.6512842828971572,1.8082127677840456,23.406835478041913,21.754490520665033,22.38278642587758,18.808569929324978,6.0,6.0,6.0,9
5,11,37,1.9830527520570196,2.1498116877980977,21.83939872442693,22.226619649027924,20.88392503023325,19.216764904888727,5.0,5.0,5.0,9
5,11,38,2.057661663231408,2.2016202184261537,20.804626684987852,20.89520322002773,19.894424267519632,18.08238740194708,6.0,5.0,5.0,9
5,11,39,1.8501884485763092,2.0972400137178027,23.16490710684761,21.075953348913835,22.151442420923026,18.2388057827139,6.0,6.0,6.0,9
5,11,40,1.7623869648856516,2.061159751411608,19.846869153624436,18.497325422818275,18.97856862815337,16.02330814751633,6.0,6.0,6.0,9
5,11,41,1.610496577198806,1.7381973789032759,22.133052176963815,20.64433353267786,23.405702677139235,19.955527404231784,5.0,5.0,5.0,9
5,11,42,1.9457863632034034,2.225392180952811,22.253713883586197,20.98604064094331,23.533302431892405,20.30399432011265,6.0,6.0,6.0,7
5,11,43,1.815376936138091,2.0204338605084775,20.76244940926424,19.47983898613791,19.85409224760893,16.85755296877319,5.0,5.0,5.0,10
5,11,44,1.697435531946497,1.9316966743714057,22.558316730101964,21.162108912152267,23.855419942082825,18.313363481670233,6.0,6.0,6.0,9
5,11,45,1.6680656992558383,1.9373676510471203,21.988858207666752,20.425089301924626,21.02684566108133,17.693233607792205,5.0,5.0,5.0,8
5,11,46,2.2049451279908805,2.537211109521616,22.569414526598226,20.548250099670206,21.582002641059557,17.782139509329987,6.0,6.0,6.0,8
5,11,47,2.42690445758139,2.760689928011791,23.06016766171397,20.377024906227295,22.051285326513984,17.61763611684235,6.0,6.0,6.0,9
5,11,48,1.9840920975889784,2.2121075591747026,21.411943981061686,20.42259040383611,20.475171431890242,17.65703128664997,6.0,6.0,6.0,10
5,11,49,2.1577380553304866,2.5069978665081254,20.69519672718479,22.092553228334545,21.88517053899791,19.100853311997575,6.0,6.0,6.0,8
5,11,50,1.6438641604761084,1.8065828983038879,22.445188139205456,20.387518974180068,23.735786457209773,17.62670911309318,6.0,5.0,5.0,9
5,11,51,2.2587883637691246,2.470170935759435,23.413988739298176,21.58672247975358,22.389626731953882,18.66352047728695,5.0,5.0,5.0,8
5,11,52,1.9434289770459998,2.2884096915288454,19.96794416843286,19.909087696586415,19.094346611063923,17.246247217167983,6.0,6.0,6.0,10
5,11,53,1.7694460117061945,2.0148044039063593,21.30670712091284,21.942884202864306,22.531842780365324,18.971451967059767,6.0,6.0,6.0,9
5,11,54,1.8253669426362065,2.0005718063379145,21.723794240699007,21.483915994414225,20.77337824266843,18.591850379781544,5.0,5.0,5.0,9
5,11,55,2.0675211305255767,2.3178745511926646,21.44432332243127,20.55656670973363,20.5061341770749,17.772864967790532,6.0,6.0,6.0,8
5,11,56,2.025814719283986,2.2884559544564063,23.532596137209442,21.84975692506453,22.503045056206528,18.890935674795372,5.0,5.0,5.0,8
5,11,57,1.9143422828817946,2.0020232404159857,21.42628747601359,20.369889068481818,20.488887398937997,19.67391785864202,5.0,5.0,5.0,7
5,12,0,2.1119051438379004,2.31120621218214,27.72648492624152,24.587408246516272,27.583269611539862,22.406799777545796,5.0,5.0,5.0,8
5,12,1,1.5314532383679298,1.6819542180769764,24.76839432697809,22.911334193864267,24.64045840586767,20.879373408179095,6.0,6.0,6.0,9
5,12,2,1.835642991859052,2.0648291417308147,24.76677194920851,24.12946132340383,24.638844408148554,22.00506820354089,5.0,5.0,5.0,10
5,12,3,1.8848331712631605,2.034903411919545,26.94830414966845,24.78372899034958,26.809108363771408,22.585709224005043,6.0,5.0,5.0,10
5,12,5,2.171253250546811,2.392409752694474,24.08013697052459,23.960021285852264,23.955756097742956,21.835054522019192,5.0,5.0,5.0,11
5,12,7,1.911416051642195,2.1621077947908507,24.126743867163206,22.320127360636462,24.0021222562791,20.35503065317661,6.0,6.0,6.0,10
5,12,9,1.8643172429267825,2.090108729749093,25.969562091234046,24.581302104128664,25.835421791176024,22.417128260072168,6.0,6.0,6.0,10
5,12,11,2.0966141200191646,2.315871906999758,26.28826568212616,24.446860885532196,26.15247918583419,22.294523443291073,6.0,5.0,5.0,8
