Number of Qubits,Depth,Seed,Lower Bound,Lower Bound (normalized),Generic Upper Bound,Generic Upper Bound (normalized),Main Thm Upper Bound,Main Thm Upper Bound (normalized),Greedy Upper Bound,Cotengra Upper Bound,HyperOpt Upper Bound,Largest HSC Rank
10,10,0,2.2652916738290356,2.5106309167451566,81.44010345957058,75.31725184757869,71.62876460344646,64.93916812005632,7.0,8.0,7.0,12
10,10,1,2.338236196420044,2.5875027499559544,80.28701297313775,74.32634687880065,70.61459046183116,64.08480152037342,9.0,9.0,9.0,12
10,10,2,2.3613737402230495,2.621800993696529,78.21708391726209,72.07509291439182,67.9085823683838,61.30182036657045,10.0,10.0,9.0,12
10,10,3,2.3364198364268276,2.5876139896557175,79.40938843725844,73.65655651014256,69.84269604347602,63.50730263016558,10.0,9.0,10.0,12
10,10,5,2.206800732275021,2.435210553595946,84.82635217986876,78.77393618340983,74.48361390387684,67.85844279233298,7.0,7.0,7.0,14
10,10,7,2.353605593566303,2.6157850714706634,77.96320050589613,72.42372180020358,69.55341765359425,63.331065960792785,9.0,9.0,9.0,16
10,10,9,2.280189326897818,2.519957127596879,81.77323657549213,75.72354781379906,70.9127285928096,64.38133537186148,11.0,9.0,9.0,14
10,10,11,2.2769045224221345,2.5238250451409434,81.62032002554098,76.33521141267647,72.65324385085998,66.65321471999577,9.0,8.0,8.0,14
10,10,13,2.2430265690780167,2.4842254745951022,82.66035449877317,76.77830868176277,73.57901672424977,67.04011162997602,7.0,9.0,7.0,16
10,10,15,2.2655265423919433,2.500594753391689,82.41431746934013,75.9403331044755,71.46866593044341,64.56564958990428,9.0,8.0,9.0,16
10,10,17,2.2670242127347424,2.5033494110436596,82.60456424135043,76.66861955580123,73.52935576756926,66.94433495326469,7.0,7.0,7.0,14
10,10,19,2.2475104536446366,2.482198505926479,82.8602574807061,76.4258259176148,71.85537953404982,64.97842311314449,9.0,9.0,9.0,18
10,10,20,2.399390140961966,2.666551837869419,76.95165959359949,71.28859785515185,66.8099327178126,60.63288499803767,14.0,12.0,12.0,16
10,10,21,2.422364529973602,2.694175261615231,76.07183854303236,71.58361503570633,67.86607429565659,62.596432948376496,14.0,11.0,11.0,14
10,10,22,2.3296154133154268,2.5838419214545123,79.69910037205047,74.46482923337841,71.92401837559196,65.91075806998867,11.0,9.0,9.0,14
10,10,23,2.353628411565141,2.611900342613514,77.65766118343758,71.98692062739441,67.42288790246823,61.22682744626656,10.0,10.0,10.0,12
10,10,24,2.33836762073379,2.597290070765617,78.45503565639825,72.97653098396518,69.99219922512562,63.81447103871905,7.0,7.0,7.0,15
10,10,25,2.2427287624445014,2.480244122704991,83.24366122282031,77.06438018974269,74.0982394576179,67.28989918271596,8.0,8.0,7.0,14
10,10,26,2.207576051518919,2.435471758046922,84.82614814839272,78.76447132924415,74.48343474962473,67.85028945766345,7.0,7.0,7.0,16
10,10,27,2.4066211386057135,2.6657447660970823,75.81685564258588,69.42233546944132,66.80307391618956,59.91533230654284,13.0,13.0,12.0,14
