Number of Nodes,Probability,Seed,Lower Bound,Lower Bound (normalized),Generic Upper Bound,Generic Upper Bound (normalized),Main Thm Upper Bound,Main Thm Upper Bound (normalized),Greedy Upper Bound,Cotengra Upper Bound,HyperOpt Upper Bound,Largest HSC Rank
10,0.2,100,0.0,0.0,8.550575700050166,7.111111111111114,10.196561522309826,8.180000000000003,4.0,4.0,4.0,2
10,0.2,101,0.43315883924447385,0.5249719648311708,5.619092991170047,4.444444444444444,5.794689647144111,4.249999999999999,3.0,3.0,3.0,3
10,0.2,102,1.110035384249285,1.538856314632365,11.073569378765468,9.427156689301306,12.457765551111152,8.952525536541344,4.0,4.0,4.0,4
10,0.2,103,0.0,0.0,11.74738536405073,8.888888888888884,14.0087570466305,10.099999999999994,4.0,4.0,4.0,4
10,0.2,104,0.0,0.0,10.32849587692043,6.222222222222221,12.33681451965496,7.154320987654321,6.0,6.0,6.0,4
10,0.2,105,0.0,0.0,8.34017297325207,5.333333333333335,8.571844444731294,5.314814814814817,7.0,7.0,7.0,3
10,0.2,106,0.0,0.0,10.193014428836568,6.222222222222225,12.174989456665903,7.154320987654324,6.0,6.0,6.0,4
10,0.2,107,0.0,0.0,7.236067977499795,5.333333333333333,7.437069865763679,5.314814814814815,6.0,6.0,6.0,2
10,0.2,108,0.0,0.0,7.236067977499799,5.333333333333332,7.437069865763682,5.314814814814815,6.0,6.0,6.0,2
10,0.2,109,1.3025004182737625,2.196027186808155,12.974231521041286,9.4454696961566,15.49699876124376,10.584412064821947,4.0,4.0,4.0,5
10,0.2,110,0.5607213214442983,0.6998933957954478,9.749426736937965,7.757542124175826,10.968105079055212,7.488183022641944,3.0,3.0,3.0,3
10,0.2,111,0.4266784954669955,0.5638538645083448,10.406814681280972,7.695968117419094,11.707666516441094,8.176966124757787,4.0,3.0,3.0,4
10,0.2,112,0.0,0.0,7.492123988226738,6.222222222222215,8.955429454677274,7.062499999999992,3.0,3.0,3.0,3
10,0.2,113,0.4049464070685517,0.4893424508593976,6.742089715733443,5.333333333333336,7.275265177947057,5.397959183673472,3.0,3.0,3.0,3
10,0.2,114,1.0108377326332545,1.2619479075204263,12.519039589253966,10.077771691277933,11.971331607224107,8.975515412544409,4.0,4.0,4.0,4
10,0.2,115,0.0,0.0,7.236067977499793,6.222222222222221,7.437069865763677,6.117283950617283,4.0,4.0,4.0,2
10,0.2,116,0.4238983434099731,0.4924236442624374,9.110907412914797,6.914050586925114,8.968549484588003,6.319874364611238,4.0,3.0,3.0,4
10,0.2,117,0.8908555118264909,1.0366600974958293,8.288704587043881,7.706616067285382,8.15919357787132,6.984120810977378,3.0,2.0,2.0,3
10,0.2,118,1.3039393140614053,2.0662875728507233,13.000963983428848,9.40025019014283,13.362101871857432,8.967031589208217,5.0,4.0,4.0,5
10,0.2,119,0.0,0.0,14.073200030341233,9.777777777777782,16.782291036181924,11.060000000000004,4.0,4.0,4.0,5
10,0.2,120,0.0,0.0,6.634756991233559,5.333333333333335,7.930607966083864,6.125000000000001,4.0,4.0,4.0,2
10,0.2,121,1.353414806542026,2.271380620640081,10.445303524612209,9.47459585532369,12.48540186926303,9.825286549268121,4.0,4.0,4.0,5
10,0.2,122,0.4738834658214056,0.6845825392618278,11.813792206951947,9.348160504658987,13.423421395149152,10.048210251541974,4.0,4.0,4.0,5
10,0.2,123,0.6733435008877403,0.8571098405536687,13.842410694941885,7.999999999999998,15.728439152127718,8.689999999999998,6.0,6.0,6.0,5
10,0.2,124,1.0185760300002822,1.1713650608839403,6.9814239699997085,5.914125366807524,7.1995934690622,5.472820377276209,2.0,2.0,2.0,4
10,0.2,125,2.8645765128858325,3.9640575744727293,16.578384040261664,14.804228876326896,17.531641122576712,16.10515603216519,6.0,6.0,6.0,8
10,0.2,126,1.033941399391918,1.1922657415173794,10.575762430502001,9.434043425026026,11.183868770255867,8.442396815009086,3.0,3.0,3.0,3
10,0.2,127,0.5448440849282272,0.7079362020489621,8.344044803960653,6.777730003427457,9.240377741886114,7.029247327773398,4.0,4.0,4.0,3
10,0.2,128,0.0,0.0,4.55228474983079,3.5555555555555554,5.405838140424063,4.055555555555555,4.0,4.0,4.0,2
10,0.2,129,0.6332704750426703,0.84749550744907,9.694447709030207,7.691870802752092,10.906253672658984,8.172612727924097,3.0,3.0,3.0,3
10,0.2,130,0.0,0.0,5.310998874802593,5.333333333333335,5.731001336840553,5.397959183673471,2.0,2.0,2.0,2
10,0.2,131,0.0,0.0,6.828427124746192,5.333333333333333,7.0181056559891415,5.314814814814815,6.0,6.0,6.0,2
10,0.2,132,0.0,0.0,8.456656431893277,6.222222222222225,10.101006293650304,7.154320987654324,5.0,5.0,5.0,3
10,0.2,133,0.36773111380966517,0.4457159388809293,11.655208065642995,8.661392065177518,12.325382529417467,8.672218805258991,4.0,4.0,4.0,4
