Number of Qubits,Depth,Seed,Lower Bound,Lower Bound (normalized),Generic Upper Bound,Generic Upper Bound (normalized),Main Thm Upper Bound,Main Thm Upper Bound (normalized),Greedy Upper Bound,Cotengra Upper Bound,HyperOpt Upper Bound,Largest HSC Rank
5,10,38,1.562456606402131,1.7554543236744997,31.05580751700303,28.951967664737793,28.937388513938767,25.741782028944325,6.0,6.0,6.0,8
5,10,39,1.93323550697485,2.177867311149197,25.90313087246929,23.98192188640291,23.677080563116462,20.716526272406085,4.0,4.0,4.0,6
5,10,40,1.6119944404012698,1.8538731842947165,29.47959365307965,27.05390967788759,28.455996651236607,24.899225465260695,5.0,5.0,5.0,8
5,10,41,1.7826661140059015,2.0418654261181803,30.044945708356273,27.347802259748168,27.228232048197874,23.555431243259655,6.0,6.0,6.0,8
5,10,42,1.5386447207724805,1.7456747153441319,27.213213446508917,25.837217709365376,24.66197468589871,22.254322284824475,7.0,7.0,6.0,8
5,10,43,1.4758632468796185,1.6842503753502929,30.32519776374551,27.52209400524092,28.256616060332128,24.484250180342368,6.0,6.0,6.0,8
5,10,44,1.4810757652690965,1.6863719349182882,28.349708301839346,26.57700443226081,25.69192314854191,22.891521395755895,6.0,6.0,6.0,9
5,10,45,1.4785482012844904,1.6839272890364578,26.96507353581403,26.42950094240653,24.43709789183147,22.764472491408753,6.0,6.0,6.0,11
5,10,46,1.433436733964283,1.6246556587797152,31.717701812678783,28.47447584370977,29.55413281783886,25.331509665607015,5.0,6.0,5.0,8
5,10,47,1.4755780323061434,1.6690766023419443,30.914003653811548,28.443722420652232,28.805257559697676,25.28989086762499,6.0,6.0,6.0,7
5,10,48,1.2137122208029272,1.311235663828565,30.504315722724836,28.878879405470467,30.03956853027335,27.20673840763152,6.0,7.0,6.0,6
5,10,49,1.5025810085021696,1.7109652187085467,30.05155361141805,27.883934064525832,28.001638077675207,24.806150924345154,6.0,6.0,6.0,8
5,10,50,1.555865802874634,1.7392922818025318,30.504272060359103,28.348137332193527,28.423475108873397,25.204904225583448,7.0,6.0,6.0,8
5,10,51,0.9265395979786217,0.9965710571640234,31.50885731795379,28.646858181590307,31.028805475159487,27.002513372533084,5.0,5.0,5.0,6
5,10,52,1.537877190684344,1.7128611139926107,30.945314643620158,28.10188459549193,28.83443272367793,24.985955919699418,6.0,6.0,6.0,6
5,10,53,1.496589129474559,1.7098889984115422,28.614354045048028,26.505427093770315,25.931758353324774,22.829869821001385,7.0,6.0,6.0,6
5,10,54,1.4434067106580635,1.6021733151040003,30.367154780771138,28.94105656085671,28.295711050919373,25.732080745043532,6.0,6.0,6.0,7
5,10,55,1.6588697310325682,1.8729255504351587,27.226273780893955,24.839842572681366,25.64828040431965,22.222097052424527,6.0,6.0,6.0,6
5,10,56,1.6722651507740158,1.8519696052241668,25.867637430042716,23.809413454804965,23.64463733839842,20.567506712074827,5.0,5.0,5.0,6
5,10,57,1.5269250289318366,1.7564103412311787,28.894497564281863,26.89519241254346,27.891216398855413,24.753149093228476,6.0,6.0,6.0,8
5,11,0,1.4179321930167346,1.610467794673708,29.35523067703402,28.226475290135216,27.352813626003655,25.096732034866488,7.0,8.0,7.0,10
5,11,1,1.5435223815540742,1.6946736389120736,35.49160048630004,32.49766666772513,32.77540657153219,28.750704899343155,6.0,6.0,6.0,8
5,11,2,1.294793501726973,1.476351283448196,32.938894515958346,30.457695257651984,31.405177240059032,27.80216495237545,6.0,6.0,6.0,9
5,11,3,1.3499962943662198,1.4702193177537004,35.14752691696161,32.768697892240226,32.45766516311251,28.99048638378678,7.0,6.0,6.0,10
5,11,5,1.1570421987615367,1.2392009116898575,33.65238628369377,32.59970767593178,31.076948557900884,31.834831344518108,6.0,6.0,6.0,9
5,11,7,1.5210232140177171,1.6142779500386282,33.8431643660504,30.95031190682251,32.267342025256184,26.59792429492559,6.0,6.0,6.0,9
5,11,9,1.4512361152006117,1.6050019556209958,32.65238321114159,30.300385614880046,29.387144890027436,26.039393887787536,7.0,6.0,6.0,8
5,11,11,1.844475013829966,1.994549635012242,34.20403159275459,30.958545795041406,32.61140637171695,28.259347583536233,6.0,6.0,6.0,8
5,11,13,1.3616997876350525,1.5005920850125247,32.6124418407421,30.26184055349045,30.116591699868984,26.772668215237243,6.0,7.0,6.0,8
5,11,15,1.2856467412560193,1.4334350263880047,34.23643062764013,32.15360147076906,31.616295630626862,28.44631021633527,7.0,6.0,6.0,8
5,11,17,1.3476132075696279,1.4784218061307137,34.29264650755581,31.352637929346674,31.66820927483471,27.737697298059558,7.0,7.0,6.0,10
5,11,19,1.3922013180295036,1.5320311600329852,35.45562973470955,32.252313222852635,32.74218868358381,28.533640561718816,7.0,6.0,6.0,7
5,11,20,1.4373248993730694,1.5957667177961294,29.930390586329576,28.082287721022794,27.888739981929675,24.96853194089167,7.0,6.0,6.0,9
5,11,21,1.400048672971239,1.5593936334255512,31.469361727015944,30.208826616579483,28.32242555431435,25.96071037362299,6.0,6.0,6.0,10
5,11,22,1.554489456277441,1.7310582823711762,30.753967332925697,28.919397439402736,28.656137843803002,25.7128231805884,6.0,6.0,6.0,8
5,11,23,1.3351919194702733,1.463318188012503,32.55972865333749,32.13533390276241,30.06791268496983,28.43014888812799,7.0,6.0,6.0,6
5,11,24,1.4535526641791225,1.6325020813055715,29.374913929515426,26.844851943668917,27.371154218949453,23.881760992382247,7.0,6.0,6.0,6
5,11,25,1.439928655915228,1.6303818179905094,30.8045723085122,29.401882404737837,27.72411507766098,25.280368531930836,7.0,6.0,6.0,8
5,11,26,1.4831069242632815,1.6414059019130218,30.168829769138046,28.99444444851498,28.11091444208812,25.779548999464073,6.0,6.0,6.0,7
5,11,27,1.410893840822956,1.5469153128394482,29.62031174050025,28.038038634454693,27.59981263631793,24.929189179991752,8.0,6.0,6.0,9
5,11,28,1.3594953517037331,1.5234213015645979,33.314568613925786,31.249632969978233,30.76498428122739,27.65907082543406,7.0,6.0,6.0,10
5,11,29,1.3690207992644388,1.5051567698082193,32.80406836529447,31.339820992161997,30.293552929174997,27.726358146160507,6.0,6.0,6.0,6
5,11,30,1.3757398179994087,1.535677710678686,31.928855103491514,29.889798236058866,28.735969593142364,25.686545359113087,6.0,6.0,6.0,9
5,11,31,1.3558929134449729,1.5014389256811365,32.45754933569783,30.878019623871857,29.973553213067895,27.317802202819237,7.0,6.0,6.0,10
5,11,32,1.6637679537333394,1.869199364234034,29.562223424595462,26.43447106311393,28.53575733346368,24.329121479745265,7.0,6.0,6.0,8
5,11,33,1.3832081793424642,1.519762664224079,34.229329949544265,31.856013378593815,31.609738371773027,28.183033855383904,6.0,6.0,6.0,8
5,11,34,1.3100054882271843,1.4715946292957636,33.74409234423974,31.11240008738467,31.1616362974867,27.53760591021792,6.0,6.0,6.0,10
5,11,35,1.3354967672283529,1.477911718381042,34.379708367233434,31.9817052945253,31.748608237088025,28.29423356766258,7.0,7.0,7.0,10
5,11,36,1.3014847277561663,1.4599041125413403,34.08683825233332,31.52749629068159,31.478151651389453,27.90500783450255,6.0,7.0,6.0,7
5,11,37,1.4255420072346079,1.6045044794598884,30.805809190570045,27.64124938765108,27.725228271513043,23.766538535989277,7.0,6.0,7.0,7
5,11,38,1.4333759601655731,1.5894151105833316,31.889684000748105,29.59008482733438,28.7007156006733,27.010199306451163,6.0,6.0,6.0,8
5,11,39,1.5237121497326624,1.7279907816182283,29.606780337472827,27.751686216185117,27.58720425489591,24.68850037769818,6.0,6.0,6.0,7
5,11,40,1.5602237802203174,1.7533328451300179,31.62059618821648,28.82449173908529,29.463651088120002,25.62844059633139,6.0,6.0,6.0,8
5,11,41,1.40505107854891,1.5728042700731062,31.20409809792025,29.74060542752512,28.08368828812823,25.558332789279405,6.0,6.0,6.0,10
5,11,42,1.3404321429901114,1.47956982852382,32.7047509134839,31.25069513898699,30.201836302758096,27.647508451204356,7.0,6.0,6.0,10
5,11,43,1.3439878337708269,1.5218446950024391,34.11707496189498,31.3923993100575,33.15970806245406,29.307003782255485,6.0,6.0,6.0,8
5,11,44,1.3126682782424963,1.4584227378670416,33.93242918291669,32.22060494454113,31.33555960259144,28.505588229164566,6.0,6.0,6.0,10
5,11,45,1.5079436298164723,1.6781913586259083,35.276728424248674,32.03062449987207,32.57697879994393,28.337512417532505,6.0,6.0,6.0,8
5,11,46,1.3522686929364884,1.4979362491615063,33.863047151533024,31.98068332541225,31.271487420548358,28.293329430984517,7.0,6.0,6.0,11
5,11,47,1.4715841134593632,1.6535431580521804,30.987802854329534,28.28846555881772,28.87402267347673,25.15184884084041,6.0,6.0,6.0,8
5,11,48,1.4398647797306166,1.5644135810403423,34.483232486644965,32.90378062993882,31.844209592258878,29.109994161630556,6.0,6.0,6.0,10
5,11,49,1.4220043456030573,1.574540804251724,31.754831490637866,30.586528289722132,28.579348341574082,26.28529774897996,6.0,6.0,6.0,8
5,11,50,1.4005598488091688,1.5524843140101985,32.657848348666384,30.423299035749878,29.392063513799748,27.770767651070436,7.0,6.0,6.0,8
5,11,51,1.4008645488641285,1.5429113380732546,33.92802763726918,31.61440132285261,31.331494909927155,27.969279526934287,6.0,6.0,6.0,8
5,11,52,1.4202815073520847,1.5865199802879915,32.79126989786835,30.935759007595017,29.51214290808151,26.585417897151967,6.0,6.0,6.0,8
5,11,53,1.4904347176761714,1.66190692955417,29.57676320640664,27.15101587026777,27.55923469128819,24.14051923828614,6.0,6.0,6.0,7
5,11,54,1.3447441409342968,1.524786212346497,34.12350151724948,31.125717563810287,31.51200905419468,27.54939321741689,6.0,6.0,6.0,10
5,11,55,1.3597046282443424,1.5041266405219627,32.66962266617463,30.690339718917482,30.169396441722498,27.151761680031825,6.0,6.0,6.0,10
5,11,56,1.3127895702647654,1.4536186598082748,31.70036195412504,29.84940115870129,28.530325758712536,25.651829120758922,7.0,6.0,6.0,9
