Number of Nodes,Degree,Seed,Lower Bound,Lower Bound (normalized),Generic Upper Bound,Generic Upper Bound (normalized),Main Thm Upper Bound,Main Thm Upper Bound (normalized),Greedy Upper Bound,Cotengra Upper Bound,HyperOpt Upper Bound,Largest HSC Rank
10,3,50,1.8963344942688367,1.8963344942688363,13.640481992731257,13.640481992731301,11.594409693821568,10.685044227639517,5.0,5.0,5.0,5
10,3,51,1.3017476391709002,1.3017476391709002,14.534016256620827,14.53401625662085,13.661975281223578,12.693040864115542,4.0,4.0,4.0,5
10,3,52,2.0496638445610085,2.04966384456101,14.167376009851564,14.167376009851566,12.04226960837383,11.097777874383727,4.0,4.0,4.0,4
10,3,53,2.43730683130766,2.4373068313076627,14.273188398592307,14.273188398592294,14.415920282578229,13.464374389338731,4.0,4.0,4.0,5
10,3,54,1.8963344942688374,1.8963344942688372,13.64048199273129,13.640481992731303,11.594409693821596,10.685044227639521,5.0,5.0,5.0,5
10,3,55,2.437306831307661,2.437306831307661,14.273188398592298,14.273188398592325,14.41592028257822,13.46437438933876,4.0,4.0,4.0,5
10,3,56,2.4902550187292993,2.4902550187292976,13.990386690021573,13.990386690021609,14.130290556921787,13.197598110920385,4.0,4.0,4.0,5
10,3,57,3.071035580555792,3.071035580555793,14.045084971874743,14.045084971874722,13.202379873562258,12.266040875437255,4.0,4.0,4.0,4
10,3,58,3.1965493048692672,3.1965493048692695,13.90388203202207,13.903882032022088,13.069649110100745,12.14272364129929,4.0,4.0,4.0,5
10,3,59,2.0496638445610085,2.0496638445610094,14.167376009851582,14.167376009851592,12.042269608373847,11.097777874383747,4.0,4.0,4.0,5
10,3,60,1.8963344942688365,1.896334494268839,13.640481992731283,13.640481992731287,11.59440969382159,10.685044227639509,5.0,5.0,5.0,5
10,3,61,3.0710355805557925,3.071035580555793,14.045084971874758,14.045084971874726,13.202379873562272,12.266040875437259,4.0,4.0,4.0,4
10,3,62,2.4902550187292976,2.4902550187292976,13.990386690021575,13.99038669002158,13.15096348862028,12.218271042618847,4.0,4.0,4.0,5
10,3,63,3.0710355805557885,3.0710355805557903,15.000000000000007,15.000000000000007,14.100000000000005,13.100000000000005,4.0,4.0,4.0,4
10,3,64,3.071035580555792,3.0710355805557925,14.045084971874735,14.045084971874733,13.20237987356225,12.266040875437266,4.0,4.0,4.0,4
10,3,65,1.8963344942688374,1.8963344942688376,13.64048199273128,13.640481992731276,11.594409693821587,10.6850442276395,5.0,5.0,5.0,5
10,3,66,2.437306831307661,2.4373068313076613,14.273188398592296,14.273188398592298,14.415920282578218,13.464374389338735,4.0,4.0,4.0,5
10,3,67,2.4902550187292976,2.490255018729298,13.990386690021591,13.990386690021582,14.130290556921805,13.19759811092036,4.0,4.0,4.0,5
10,3,68,2.0496638445610076,2.049663844561009,14.167376009851571,14.167376009851576,12.042269608373834,11.097777874383734,4.0,4.0,4.0,5
10,3,69,1.896334494268837,1.8963344942688376,13.640481992731244,13.640481992731248,11.594409693821557,10.685044227639477,5.0,5.0,5.0,5
10,3,70,2.490255018729296,2.4902550187292976,13.990386690021584,13.990386690021584,13.150963488620288,12.21827104261885,4.0,4.0,4.0,5
10,3,71,1.2486158029050216,1.248615802905021,13.700285173544536,13.700285173544508,12.878268063131861,11.964915718228871,4.0,4.0,4.0,4
10,3,72,2.2222222222222223,2.2222222222222228,12.50000000000001,12.50000000000001,11.750000000000009,11.791666666666677,7.0,6.0,6.0,5
10,3,73,0.9743270826470436,0.9743270826470439,12.500000000000007,12.500000000000012,11.750000000000005,10.916666666666677,4.0,4.0,4.0,4
10,3,74,1.8963344942688365,1.896334494268838,13.64048199273127,13.64048199273129,11.594409693821579,10.685044227639512,5.0,5.0,5.0,5
10,3,75,2.04966384456101,2.0496638445610085,14.167376009851582,14.1673760098516,12.042269608373847,11.097777874383754,4.0,4.0,4.0,5
10,3,76,1.9668721300516554,1.9668721300516554,14.045084971874726,14.04508497187475,11.938322226093517,11.001983227968553,4.0,4.0,4.0,4
10,3,77,3.0710355805557903,3.0710355805557903,15.000000000000002,14.999999999999993,14.100000000000001,13.099999999999994,4.0,4.0,4.0,4
10,3,78,1.896334494268837,1.896334494268836,13.640481992731265,13.640481992731278,11.594409693821577,10.685044227639501,5.0,5.0,5.0,5
10,3,79,1.8963344942688376,1.8963344942688367,13.64048199273128,13.640481992731278,11.594409693821587,10.685044227639501,5.0,5.0,5.0,5
10,3,80,1.9668721300516543,1.9668721300516552,14.045084971874715,14.045084971874742,11.938322226093508,11.001983227968546,4.0,4.0,4.0,4
10,3,81,0.49231751498135795,0.49231751498135845,13.723221429525196,13.723221429525195,11.664738215096417,10.749856786461402,4.0,4.0,4.0,4
10,3,82,1.8963344942688378,1.8963344942688385,13.640481992731297,13.640481992731274,11.594409693821602,10.685044227639498,5.0,5.0,5.0,5
10,3,83,2.365705928955491,2.365705928955493,13.682084772488121,13.682084772488164,11.629772056614902,11.460913672527443,5.0,5.0,5.0,4
10,3,84,2.4902550187292976,2.490255018729298,13.990386690021591,13.990386690021593,14.130290556921805,13.19759811092037,4.0,4.0,4.0,5
10,3,85,3.07103558055579,3.0710355805557916,14.045084971874747,14.045084971874727,13.20237987356226,12.26604087543726,4.0,4.0,4.0,4
10,3,86,1.3017476391709004,1.3017476391709002,14.534016256620841,14.534016256620832,13.66197528122359,12.693040864115526,4.0,4.0,4.0,5
10,3,87,1.3017476391709015,1.3017476391709009,12.5,12.500000000000012,11.749999999999998,10.916666666666677,5.0,5.0,5.0,4
10,3,88,1.9668721300516545,1.9668721300516547,14.045084971874717,14.04508497187473,11.93832222609351,11.00198322796854,4.0,4.0,4.0,4
10,3,89,1.2486158029050214,1.2486158029050214,13.700285173544561,13.700285173544543,12.878268063131888,11.9649157182289,4.0,4.0,4.0,4
10,3,90,2.049663844561008,2.0496638445610103,14.167376009851582,14.167376009851582,12.042269608373847,11.09777787438374,4.0,4.0,4.0,4
10,3,91,3.071035580555794,3.0710355805557916,14.045084971874735,14.045084971874743,13.20237987356225,12.266040875437275,4.0,4.0,4.0,4
10,3,92,2.3657059289554914,2.3657059289554923,13.682084772488139,13.682084772488164,11.629772056614918,11.460913672527441,5.0,5.0,5.0,4
10,3,93,2.4902550187292976,2.4902550187293,13.990386690021584,13.99038669002158,13.150963488620288,13.197598110920358,4.0,4.0,4.0,5
10,3,94,2.0496638445610085,2.0496638445610103,14.167376009851589,14.16737600985157,12.04226960837385,11.09777787438373,4.0,4.0,4.0,5
10,3,95,1.3017476391709004,1.3017476391709006,14.534016256620838,14.534016256620832,13.661975281223588,12.693040864115526,4.0,4.0,4.0,5
10,3,96,0.49231751498135845,0.49231751498135834,13.723221429525207,13.723221429525214,11.664738215096426,10.749856786461418,4.0,4.0,4.0,4
10,3,97,1.3017476391709013,1.3017476391709002,12.500000000000002,12.500000000000002,11.75,10.916666666666668,5.0,5.0,5.0,4
