Number of Qubits,Depth,Seed,Lower Bound,Lower Bound (normalized),Generic Upper Bound,Generic Upper Bound (normalized),Main Thm Upper Bound,Main Thm Upper Bound (normalized),Greedy Upper Bound,Cotengra Upper Bound,HyperOpt Upper Bound,Largest HSC Rank
10,10,25,2.5889989880653665,2.8727171684064836,70.18238116598415,65.01787257392078,63.27680204412306,56.567087909504856,9.0,8.0,8.0,18
10,10,26,2.675056916005484,2.9758273922325067,71.94920609191638,65.78806035818153,64.86978064113626,57.237169509753635,9.0,8.0,8.0,20
10,10,27,2.6008792703024723,2.865094269911328,70.56431878708642,65.83628221352599,63.62115900155564,57.27311378059019,9.0,8.0,9.0,22
10,10,28,2.6721954326726696,2.951685938811921,73.82682307797607,68.14069658601596,66.5626499392097,59.277798463804714,8.0,8.0,8.0,18
10,10,29,2.584430876301027,2.8432812765379234,71.83902704827021,67.35993018557102,64.7704426389428,58.59858448960557,9.0,9.0,8.0,20
10,10,30,2.58835112666663,2.8464657588838667,70.18337154712859,65.35362508951667,63.27769497694441,56.85323471921269,10.0,8.0,9.0,20
10,10,31,2.632233174275133,2.9248475957442786,71.54053862009893,65.16020091272377,64.50132391045186,56.690916932731184,9.0,8.0,8.0,20
10,10,32,2.592431636568438,2.8533792418049484,69.32026134507556,65.08316907053148,62.49951030309577,56.61795627050343,8.0,8.0,8.0,22
10,10,33,2.5895062354871556,2.887358863113296,70.29808092136874,64.80855898829886,63.381117548903504,56.38498013621425,9.0,9.0,9.0,16
10,10,34,2.6366315365132205,2.9416443860795045,71.60144942409326,64.8937475771918,64.55624141001036,56.45909622469922,9.0,8.0,9.0,14
10,10,35,2.5862061410686663,2.849117414080053,72.84326381224626,68.48198161364219,65.67586775937662,59.57469336068626,7.0,7.0,7.0,20
10,10,36,2.5700431758350137,2.8465219674850784,72.023110497305,67.75987958911591,64.93641323969265,58.946513426744126,8.0,8.0,8.0,20
10,10,37,2.4760710773935655,2.731109022097172,70.35204430287263,67.99155128396599,63.42977121599663,59.14805213599045,8.0,8.0,8.0,19
10,10,38,2.570463369746996,2.845703485011249,72.2675030386741,67.18478761127565,65.15675883362026,58.446222292832225,8.0,10.0,8.0,20
10,10,39,2.646158969419654,2.9208094477577555,71.93149124957401,66.64253589932005,64.85380884659868,57.97449996963315,10.0,8.0,8.0,20
10,10,40,2.6620437892700615,2.9716589717746094,74.76667031648755,68.52326970670165,67.41002112660723,59.61061120981249,7.0,7.0,7.0,18
10,10,41,2.558997261039045,2.826085432558113,70.1337650824261,66.66349169913535,63.23296952883424,57.99273009847446,10.0,8.0,8.0,14
10,10,42,2.624758602927377,2.8911220550710106,72.38256890096353,66.93503972393947,65.26050281706968,58.22895851840649,8.0,8.0,8.0,20
10,10,43,2.6484225258002643,2.930918925626815,74.20627739288182,68.47614615023605,66.90476793478317,59.56961690210771,8.0,8.0,8.0,20
10,10,44,2.5482678409668202,2.8060770019335686,72.40455279366898,67.23567323059189,65.28032360974971,58.49048934083232,8.0,8.0,8.0,19
10,10,45,2.638095400314701,2.9276668374443524,72.77640281251719,66.85670420463548,65.61558553221303,58.16081191353584,9.0,8.0,8.0,20
10,10,46,2.6493047305950537,2.9516525700521665,72.2743834582346,65.6792304293206,65.16296225589343,57.14248489597976,9.0,8.0,8.0,20
10,10,47,2.608829466558675,2.893856998317271,70.77600387570905,66.93476863215564,63.812015384965974,58.23483284711833,8.0,8.0,8.0,20
10,10,48,2.6157684649501776,2.8845019641458256,71.77548883793864,66.29228032540745,64.7131562560844,57.66980130405661,11.0,8.0,8.0,18
10,10,49,2.5584063421713528,2.813778200427449,69.81925574664754,66.83757956854905,62.94940626622533,58.144174773318255,9.0,8.0,9.0,20
10,10,50,2.5453120900096824,2.800561058898513,71.84223524056888,66.84329699151024,64.77333516190411,58.149148544691386,8.0,8.0,8.0,19
10,10,51,2.630568372269414,2.908746198012342,71.40168094700505,66.00029526972168,64.37612910590556,57.41579404917721,8.0,8.0,8.0,20
10,10,52,2.5682873546917273,2.8685771445877855,72.04715339048472,66.03371652501613,64.95809043797271,57.45089618881478,8.0,8.0,8.0,20
10,10,53,2.5786678303871104,2.830272018074346,72.9919399469595,68.96531382653777,65.80991494028781,59.995159703746346,8.0,8.0,8.0,20
10,10,54,2.604092036355369,2.9041240365136294,69.61371860225937,64.45530622182801,62.76409290150198,56.077641868993744,9.0,8.0,9.0,14
10,10,55,2.607807634800856,2.876941581446871,70.21384436675737,65.84850091782332,63.30516943055146,57.2837432271194,8.0,8.0,8.0,20
10,10,56,2.5811982251868835,2.8465801481101454,70.41996063387248,65.52623917463958,63.4910049353553,57.00339730137846,8.0,8.0,8.0,20
10,10,57,2.6497466299994654,2.934591983469301,72.25036245327489,66.3011871731609,65.14130479214707,57.67754965933517,8.0,8.0,8.0,20
11,10,0,3.220983815070875,3.6195490271145134,70.56848642717542,66.45202634239129,63.62491656766441,57.82105928383523,9.0,9.0,9.0,18
