Number of Nodes,Degree,Seed,Lower Bound,Lower Bound (normalized),Generic Upper Bound,Generic Upper Bound (normalized),Main Thm Upper Bound,Main Thm Upper Bound (normalized),Greedy Upper Bound,Cotengra Upper Bound,HyperOpt Upper Bound,Largest HSC Rank
20,4,0,5.133143648435427,5.133143648435425,35.2277865792557,35.22778657925569,28.182229263404558,28.117133840574766,12.0,12.0,11.0,10
20,4,1,4.34476931004914,4.34476931004914,34.60951503273478,34.60951503273471,27.68761202618782,26.389755212460216,13.0,12.0,12.0,10
20,4,2,2.6950197545224186,2.695019754522419,36.3068271879861,36.306827187986066,30.770036041818223,29.408530022268714,10.0,9.0,9.0,10
20,4,3,4.4716876911311765,4.471687691131174,36.19362823705229,36.19362823705232,30.67409993090181,29.316838872012383,11.0,11.0,11.0,10
20,4,4,5.1870437411000045,5.187043741100008,36.24019134173579,36.24019134173577,32.25377029414486,30.894763118829744,12.0,11.0,11.0,10
20,4,5,3.9297917678941663,3.9297917678941645,33.972017816140564,33.97201781614053,27.177614252912452,25.903663584807152,13.0,12.0,11.0,10
20,4,6,5.392005797411957,5.392005797411957,37.45599795280749,37.45599795280754,33.33583817799867,31.931238254768427,9.0,9.0,9.0,12
20,4,7,3.8524033394855497,3.852403339485549,34.31603573383112,34.31603573383118,29.082840284421874,27.795988944403256,12.0,12.0,11.0,8
20,4,8,5.266347018761616,5.266347018761613,35.98124185856206,35.98124185856203,32.023305254120224,30.674008684424127,11.0,11.0,11.0,10
20,4,9,4.337665429505313,4.337665429505317,34.414453094738455,34.41445309473854,30.628863254317228,29.338321263264604,11.0,13.0,11.0,10
20,4,10,4.47181567194176,4.471815671941759,36.15482751719257,36.15482751719259,30.641216320820703,29.285410288925995,10.0,11.0,10.0,10
20,4,11,5.737540470394614,5.737540470394613,36.553973833256855,36.55397383325701,33.90381073034574,32.53303671159874,11.0,11.0,10.0,10
20,4,12,5.531499481403284,5.531499481403284,37.48221338961921,37.48221338961923,29.98577071169537,28.996036473658243,10.0,9.0,9.0,8
20,4,13,6.4448192873539725,6.444819287353974,35.18181471181944,35.181814711819335,30.818712051488305,30.818712051488312,12.0,13.0,12.0,10
20,4,14,5.7541819249079555,5.754181924907957,36.35303118073635,36.353031180736316,32.354197750855356,30.99095908157771,12.0,11.0,10.0,12
20,4,15,4.797304902969907,4.797304902969905,33.392056101240975,33.39205610124104,30.971132033901007,29.718929930104526,13.0,13.0,13.0,10
20,4,16,3.6362176091831513,3.6362176091831473,34.77629423248635,34.7762942324863,29.472909362032183,28.168798328313898,12.0,11.0,11.0,10
20,4,17,4.796416305567891,4.796416305567891,36.79446268303106,36.79446268303095,29.435570146424848,28.0557777958111,11.0,10.0,10.0,10
20,4,18,3.9011770607011167,3.9011770607011167,37.04494980817023,37.044949808170294,32.97000532927151,31.58081971146517,9.0,11.0,9.0,10
20,4,19,5.088889756433245,5.088889756433245,34.94894339860093,34.94894339860104,29.619229530314293,28.308644152866837,14.0,13.0,12.0,10
20,4,20,5.386769509520908,5.386769509520908,34.9507490687681,34.95074906876796,31.10616667120361,29.795513581124688,13.0,12.0,12.0,10
20,4,21,5.4077701630419694,5.407770163041966,37.10047288759545,37.10047288759542,31.442650772237144,30.05138303895229,10.0,9.0,9.0,10
20,4,22,4.3239111641974395,4.32391116419744,34.59615484326094,34.596154843260905,33.212308649530506,31.914952842908182,13.0,12.0,12.0,12
20,4,23,5.044886899725172,5.044886899725173,34.101563318119396,34.10156331811943,28.901074912106193,27.622266287676737,13.0,13.0,12.0,10
20,4,24,5.7161126779045945,5.716112677904592,35.74248281819653,35.74248281819659,31.81080970819491,30.470466602512587,12.0,12.0,11.0,10
20,4,25,4.917798630496835,4.917798630496834,35.600121279031505,35.60012127903161,30.171102783979205,28.8360982360156,13.0,13.0,11.0,10
20,4,26,5.258715872216081,5.258715872216079,35.84338110326643,35.843381103266545,28.67470488261315,28.400176286184635,11.0,10.0,10.0,10
20,4,27,5.661053520239986,5.661053520239983,35.377914819454745,35.37791481945475,29.27027550968988,29.27027550968987,12.0,13.0,12.0,10
20,4,28,6.072201165883191,6.07220116588319,36.79381162685263,36.79381162685264,32.746492347898844,31.36672441189187,11.0,10.0,10.0,12
20,4,29,5.011101442018614,5.011101442018619,35.84049202631368,35.84049202631359,30.37481699230085,29.030798541314006,11.0,13.0,11.0,10
20,4,30,4.677886711352193,4.677886711352189,34.827909858241235,34.82790985824122,29.51665360485945,28.210606985175385,14.0,13.0,12.0,10
20,4,31,4.710424444991881,4.710424444991878,36.5356024931024,36.53560249310245,29.228481994481925,27.858396900990616,10.0,10.0,10.0,10
20,4,32,6.630910709847052,6.630910709847053,37.30628527074324,37.306285270743174,33.20259389096148,31.803608193308555,10.0,9.0,9.0,12
20,4,33,5.332474434706937,5.3324744347069375,36.9145201438347,36.91452014383468,29.53161611506776,28.56381933562865,10.0,9.0,9.0,10
20,4,34,4.655114657698637,4.655114657698637,35.24524428122691,35.245244281226874,31.36826741029195,30.046570749745904,12.0,11.0,11.0,10
20,4,35,4.906222344453034,4.906222344453032,34.59867544213877,34.59867544213881,30.792821143503502,29.495370814423335,12.0,12.0,12.0,10
20,4,36,4.742559704647212,4.742559704647212,35.86469102417258,35.86469102417256,28.691752819338063,27.346826905931575,13.0,11.0,11.0,10
20,4,37,4.638422893354543,4.638422893354538,35.976587439596024,35.97658743959593,32.019162821240464,30.67004079225553,12.0,11.0,11.0,10
20,4,38,4.4205301322705655,4.420530132270565,33.98401647462076,33.984016474620795,28.801453962241098,27.527053344442844,13.0,13.0,12.0,10
20,4,39,5.2321646379768,5.232164637976804,35.944813765683286,35.944813765683165,28.75585101254663,28.340799727008744,12.0,12.0,11.0,10
20,4,40,3.2121479332896286,3.2121479332896268,35.48548614892488,35.485486148924934,32.91278840312783,31.582082672543187,11.0,11.0,10.0,10
20,4,41,4.810149051060312,4.8101490510603115,35.80628645998648,35.80628645998642,28.64502916798919,27.362256190881546,12.0,11.0,11.0,10
20,4,42,5.241938044897259,5.241938044897263,36.60079538015362,36.6007953801537,32.574707888336725,31.202178061581026,10.0,9.0,9.0,12
20,4,43,4.830951782475233,4.830951782475231,35.80033250670101,35.80033250670091,30.34078179942911,28.99826933042774,12.0,12.0,12.0,10
20,4,44,3.9778875193117234,3.9778875193117207,37.10826552724404,37.10826552724392,31.44925503433933,30.057695077067574,9.0,9.0,9.0,10
20,4,45,3.822527321263858,3.822527321263858,33.822905018427804,33.822905018427775,28.66491200311756,27.396553064926493,12.0,11.0,11.0,10
20,4,46,5.307979989849423,5.307979989849424,35.34083949588174,35.340839495881816,28.509686504526783,28.509686504526783,12.0,12.0,12.0,10
20,4,47,5.1347695132477655,5.134769513247763,36.50307536894036,36.503075368940245,32.48773707835692,31.118871752021555,11.0,11.0,10.0,10
