Number of Nodes,Degree,Seed,Lower Bound,Lower Bound (normalized),Generic Upper Bound,Generic Upper Bound (normalized),Main Thm Upper Bound,Main Thm Upper Bound (normalized),Greedy Upper Bound,Cotengra Upper Bound,HyperOpt Upper Bound,Largest HSC Rank
10,3,17,2.365705928955494,2.365705928955491,13.682084772488135,13.682084772488173,13.818905620213016,12.90676663538051,5.0,5.0,5.0,4
10,3,18,3.1965493048692677,3.1965493048692672,13.90388203202206,13.903882032022064,13.069649110100736,12.14272364129927,4.0,4.0,4.0,4
10,3,19,1.8963344942688367,1.8963344942688372,13.640481992731262,13.640481992731296,11.594409693821571,10.685044227639514,5.0,5.0,5.0,4
12,3,0,2.6666666666666696,2.6666666666666714,17.080575606683592,17.080575606683595,14.233813005569662,13.416407864998748,4.0,4.0,4.0,6
12,3,1,1.0966998584585874,1.096699858458588,16.766212659234068,16.766212659234096,13.971843882695056,13.040387623848742,4.0,4.0,4.0,5
12,3,2,0.9446631704944253,0.9446631704944248,16.937253933193766,16.937253933193787,16.466774657271714,15.525816105427637,4.0,4.0,4.0,4
12,3,3,1.675536687919435,1.6755366879194344,16.83385216059335,16.83385216059337,15.314129396095337,14.378915387173503,5.0,5.0,5.0,4
12,3,4,2.313067024527421,2.313067024527421,16.841313006230596,16.84131300623058,14.034427505192163,13.098799004846006,5.0,5.0,5.0,5
12,3,5,2.4497119849843663,2.4497119849843676,16.755960701695173,16.755960701695198,16.290517348870306,13.032413879096266,5.0,5.0,5.0,5
12,3,6,2.449711984984366,2.449711984984365,16.755960701695166,16.755960701695223,16.290517348870296,15.35963064322062,5.0,5.0,5.0,5
12,3,7,3.381197846482997,3.3811978464829973,17.025392611699957,17.025392611699917,14.696938456699073,14.696938456699074,5.0,5.0,5.0,6
12,3,8,1.618425823052505,1.618425823052505,16.779157966016605,16.779157966016598,15.264372871862328,14.332197429305843,5.0,5.0,5.0,4
12,3,9,2.4247498675305725,2.424749867530572,17.124467999653284,17.12446799965327,14.270389999711071,13.319030666396989,4.0,4.0,4.0,5
12,3,10,1.2956348551058914,1.2956348551058916,16.242640687119266,16.24264068711932,15.791456223588174,14.889087296526043,5.0,5.0,5.0,6
12,3,11,1.6755366879194338,1.6755366879194364,16.833852160593363,16.833852160593406,15.31412939609535,14.378915387173533,5.0,5.0,5.0,4
12,3,12,2.06927024733061,2.0692702473306097,17.265323061968676,17.265323061968683,15.706648063318726,14.747463448764915,4.0,4.0,4.0,6
12,3,13,1.1923166173056137,1.1923166173056128,16.90117026328685,16.90117026328683,16.431693311528882,15.492739408012927,4.0,4.0,4.0,4
12,3,14,1.945073505577487,1.9450735055774848,16.0159828482552,16.01598284825521,14.570095507787716,13.680318682884657,7.0,6.0,6.0,4
12,3,15,2.0371520600005617,2.0371520600005635,17.373863542433767,17.373863542433767,15.805389750408494,14.840175109162177,4.0,4.0,4.0,5
12,3,16,1.9450735055774864,1.9450735055774855,16.015982848255234,16.015982848255195,14.570095507787748,13.680318682884646,7.0,6.0,6.0,4
12,3,17,2.9247681975691955,2.924768197569195,17.127826078310743,17.12782607831078,14.27318839859229,13.914030226445878,4.0,4.0,4.0,4
12,3,18,1.7522051125942142,1.7522051125942153,17.196152422706618,17.196152422706618,15.643721995656714,14.688380194395236,4.0,4.0,4.0,4
12,3,19,2.4247498675305725,2.424749867530572,17.12446799965324,17.12446799965328,14.270389999711036,13.319030666396998,4.0,4.0,4.0,5
14,3,0,2.0288391866650493,2.028839186665051,19.329818327756264,19.3298183277563,17.160144841987705,16.23967730257077,7.0,6.0,6.0,5
14,3,1,2.677519831951261,2.677519831951261,19.838757590002515,19.838757590002498,17.611958268675703,16.667255526294618,5.0,5.0,5.0,6
14,3,2,1.116308740731981,1.1163087407319805,18.474447633237503,18.474447633237585,16.400785143792476,15.521049542209807,6.0,6.0,6.0,4
14,3,3,1.1033418480920962,1.103341848092096,20.50406577508237,20.50406577508238,18.202589004409862,17.22620491988214,4.0,4.0,4.0,5
14,3,4,0.49082233099105016,0.49082233099104966,18.949747468305837,18.949747468305848,17.886241232839694,16.98387230577752,5.0,5.0,5.0,6
14,3,5,2.049359287789643,2.0493592877896423,19.13323082712302,19.13323082712303,16.985623285303085,16.074517055440097,7.0,6.0,6.0,5
14,3,6,2.3367026774494297,2.3367026774494293,19.1751249449363,19.175124944936258,17.022815002137328,16.109713814283182,7.0,7.0,6.0,5
14,3,7,1.6107854350935553,1.6107854350935558,19.852250820982423,19.852250820982416,16.307206031521275,15.361860754331634,5.0,5.0,5.0,6
14,3,8,1.822446694839261,1.822446694839261,19.154918681483398,19.1549186814834,15.734397488361362,14.822258503528822,6.0,6.0,6.0,4
14,3,9,1.0771875221705434,1.0771875221705418,19.19853088143025,19.1985308814302,15.770221795460564,14.856006039201942,5.0,5.0,5.0,5
14,3,10,1.7183663439941053,1.7183663439941035,19.184180064321993,19.184180064322025,18.10751689744678,17.193984513431477,7.0,7.0,6.0,4
14,3,11,1.9170473562501735,1.9170473562501738,19.27832354422437,19.278323544224396,18.196376814701573,17.27836140783377,7.0,6.0,7.0,5
14,3,12,2.159521498773701,2.1595214987736995,20.436885582942956,20.436885582942956,18.14294944608201,17.169764418322824,4.0,4.0,4.0,5
14,3,13,2.3780040757424628,2.3780040757424614,19.89085562265788,19.890855622657863,17.658208562971794,16.711024961892832,5.0,5.0,5.0,5
