Number of Nodes,Probability,Seed,Lower Bound,Lower Bound (normalized),Generic Upper Bound,Generic Upper Bound (normalized),Main Thm Upper Bound,Main Thm Upper Bound (normalized),Greedy Upper Bound,Cotengra Upper Bound,HyperOpt Upper Bound,Largest HSC Rank
15,0.12,100,0.6782991782982968,0.9474102948847222,16.785836091274764,12.186968743018904,16.31404484018864,11.279449066175859,4.0,4.0,4.0,4
15,0.12,101,0.0,0.0,13.90597434098406,8.888888888888895,13.515125949743382,8.369822485207107,8.0,8.0,8.0,3
15,0.12,102,0.35646163766964745,0.3752273308327176,17.40366109262674,13.20567605089726,16.08284752756132,11.63750201985321,4.0,4.0,4.0,4
15,0.12,103,0.0,0.0,15.494532748704724,10.666666666666655,17.84392565808673,11.860946745562117,6.0,6.0,6.0,4
15,0.12,104,1.0674932296328938,1.4584293782433035,14.321284199198452,11.024336788915843,15.144758040652365,10.895012838122792,4.0,3.0,3.0,5
15,0.12,105,0.0,0.0,12.174701480868436,8.000000000000002,11.832513125636925,7.582840236686393,9.0,9.0,9.0,3
15,0.12,106,0.0,0.0,12.430240731225725,8.88888888888889,12.080870059785948,8.369822485207102,7.0,7.0,7.0,3
15,0.12,107,0.0,0.0,10.517896003344877,7.11111111111111,10.46356802812099,6.847107438016528,7.0,7.0,7.0,3
15,0.12,108,0.0,0.0,9.863283624633384,7.111111111111114,10.899220218344878,7.742603550295861,10.0,10.0,10.0,2
15,0.12,109,0.3471919501973236,0.40959813894226094,17.874127722097242,14.000771864899557,16.517609100330937,12.305365896884377,4.0,4.0,4.0,4
15,0.12,110,0.0,0.0,14.090193100016487,10.666666666666666,16.768494267788217,12.103305785123966,3.0,3.0,3.0,4
15,0.12,111,0.23246054481763573,0.25634507076653046,13.250112567511039,10.666666666666659,12.877698161027741,9.943786982248515,4.0,4.0,4.0,3
15,0.12,112,0.0,0.0,14.609134296851835,11.555555555555562,15.51288814047086,11.841836734693885,5.0,5.0,5.0,3
15,0.12,113,0.0,0.0,14.1908842933994,9.777777777777777,15.68134699285407,10.458579881656803,7.0,7.0,7.0,3
15,0.12,114,0.9608680014696525,1.1540922374301026,18.01965239843716,14.189487107605586,17.99666814792895,12.441884835161517,4.0,4.0,4.0,5
